"","S0","Price","Continent","Verb"
"137",37,12.4939523763224,"Europe","put"
"138",38,11.8753114687435,"Europe","put"
"139",39,11.2566705611646,"Europe","put"
"140",40,10.6380296535857,"Europe","put"
"141",41,10.1213349649827,"Europe","put"
"142",42,9.663575312347,"Europe","put"
"143",43,9.20581565971132,"Europe","put"
"144",44,8.74805600707566,"Europe","put"
"145",45,8.29029635443998,"Europe","put"
"146",46,7.83253670180432,"Europe","put"
"147",47,7.37477704916865,"Europe","put"
"148",48,6.91701739653298,"Europe","put"
"149",49,6.61304772139167,"Europe","put"
"150",50,6.30907804625036,"Europe","put"
"151",51,6.00510837110905,"Europe","put"
"152",52,5.70113869596774,"Europe","put"
"153",53,5.39716902082643,"Europe","put"
"154",54,5.09319934568512,"Europe","put"
"155",55,4.78922967054381,"Europe","put"
"156",56,4.4852599954025,"Europe","put"
"157",57,4.18129032026119,"Europe","put"
"158",58,3.99290461749045,"Europe","put"
"159",59,3.81419898077817,"Europe","put"
"160",60,3.6354933440659,"Europe","put"
"161",61,3.45678770735362,"Europe","put"
"162",62,3.27808207064135,"Europe","put"
"163",63,3.09937643392907,"Europe","put"
"164",64,2.9206707972168,"Europe","put"
"165",65,2.74196516050452,"Europe","put"
"166",66,2.56325952379225,"Europe","put"
"167",67,2.38455388707997,"Europe","put"
"168",68,2.21703770806865,"Europe","put"
"169",69,2.12517841530519,"Europe","put"
"170",70,2.03331912254173,"Europe","put"
"171",71,1.94145982977827,"Europe","put"
"172",72,1.84960053701481,"Europe","put"
"173",73,1.75774124425135,"Europe","put"
"174",74,1.6658819514879,"Europe","put"
"175",75,1.57402265872444,"Europe","put"
"176",76,1.48216336596098,"Europe","put"
"177",77,1.39030407319752,"Europe","put"
"178",78,1.29844478043406,"Europe","put"
"179",79,1.2065854876706,"Europe","put"
"180",80,1.11472619490714,"Europe","put"
"181",81,1.03787310345641,"Europe","put"
"182",82,0.997102029711547,"Europe","put"
"183",83,0.956330955966681,"Europe","put"
"184",84,0.915559882221815,"Europe","put"
"185",85,0.874788808476949,"Europe","put"
"186",86,0.834017734732083,"Europe","put"
"187",87,0.793246660987218,"Europe","put"
"188",88,0.752475587242351,"Europe","put"
"189",89,0.711704513497486,"Europe","put"
"190",90,0.67093343975262,"Europe","put"
"191",91,0.630162366007754,"Europe","put"
"192",92,0.589391292262888,"Europe","put"
"193",93,0.548620218518023,"Europe","put"
"194",94,0.507849144773157,"Europe","put"
"195",95,0.467078071028291,"Europe","put"
"196",96,0.427102538212363,"Europe","put"
"197",97,0.411688809010985,"Europe","put"
"198",98,0.396275079809608,"Europe","put"
"199",99,0.38086135060823,"Europe","put"
"200",100,0.365447621406853,"Europe","put"
"201",1,0,"America","call"
"202",2,0,"America","call"
"203",3,0,"America","call"
"204",4,0,"America","call"
"205",5,0,"America","call"
"206",6,0,"America","call"
"207",7,2.53750296893594e-07,"America","call"
"208",8,5.14883254670256e-06,"America","call"
"209",9,3.86630467929764e-05,"America","call"
"210",10,9.91769002718097e-05,"America","call"
"211",11,0.00047978801865849,"America","call"
"212",12,0.000895248016557315,"America","call"
"213",13,0.00294210942902863,"America","call"
"214",14,0.00500187393807521,"America","call"
"215",15,0.0112481133421976,"America","call"
"216",16,0.0191115480010173,"America","call"
"217",17,0.0273173970870849,"America","call"
"218",18,0.0513976464285768,"America","call"
"219",19,0.0754778957700687,"America","call"
"220",20,0.0995581451115607,"America","call"
"221",21,0.153451931964842,"America","call"
"222",22,0.214328172035951,"America","call"
"223",23,0.27520441210706,"America","call"
"224",24,0.336080652178168,"America","call"
"225",25,0.465410929149181,"America","call"
"226",26,0.595282534298599,"America","call"
"227",27,0.725154139448017,"America","call"
"228",28,0.855025744597436,"America","call"
"229",29,1.03382189758198,"America","call"
"230",30,1.27192604807888,"America","call"
"231",31,1.51003019857577,"America","call"
"232",32,1.74813434907266,"America","call"
"233",33,1.98623849956956,"America","call"
"234",34,2.23198201974757,"America","call"
"235",35,2.61334111216866,"America","call"
"236",36,2.99470020458975,"America","call"
"237",37,3.37605929701083,"America","call"
"238",38,3.75741838943192,"America","call"
"239",39,4.138777481853,"America","call"
"240",40,4.52013657427409,"America","call"
"241",41,5.00344188567105,"America","call"
"242",42,5.54568223303538,"America","call"
"243",43,6.08792258039971,"America","call"
"244",44,6.63016292776405,"America","call"
"245",45,7.17240327512838,"America","call"
"246",46,7.71464362249271,"America","call"
"247",47,8.25688396985704,"America","call"
"248",48,8.79912431722137,"America","call"
"249",49,9.49515464208005,"America","call"
"250",50,10.1911849669387,"America","call"
"251",51,10.8872152917974,"America","call"
"252",52,11.5832456166561,"America","call"
"253",53,12.2792759415148,"America","call"
"254",54,12.9753062663735,"America","call"
"255",55,13.6713365912322,"America","call"
"256",56,14.3673669160909,"America","call"
"257",57,15.0633972409496,"America","call"
"258",58,15.8750115381788,"America","call"
"259",59,16.6963059014666,"America","call"
"260",60,17.5176002647543,"America","call"
"261",61,18.338894628042,"America","call"
"262",62,19.1601889913297,"America","call"
"263",63,19.9814833546175,"America","call"
"264",64,20.8027777179052,"America","call"
"265",65,21.6240720811929,"America","call"
"266",66,22.4453664444806,"America","call"
"267",67,23.2666608077684,"America","call"
"268",68,24.099144628757,"America","call"
"269",69,25.0072853359936,"America","call"
"270",70,25.9154260432301,"America","call"
"271",71,26.8235667504667,"America","call"
"272",72,27.7317074577032,"America","call"
"273",73,28.6398481649397,"America","call"
"274",74,29.5479888721763,"America","call"
"275",75,30.4561295794128,"America","call"
"276",76,31.3642702866494,"America","call"
"277",77,32.2724109938859,"America","call"
"278",78,33.1805517011224,"America","call"
"279",79,34.088692408359,"America","call"
"280",80,34.9968331155955,"America","call"
"281",81,35.9199800241448,"America","call"
"282",82,36.8792089503999,"America","call"
"283",83,37.8384378766551,"America","call"
"284",84,38.7976668029102,"America","call"
"285",85,39.7568957291654,"America","call"
"286",86,40.7161246554205,"America","call"
"287",87,41.6753535816756,"America","call"
"288",88,42.6345825079307,"America","call"
"289",89,43.5938114341859,"America","call"
"290",90,44.553040360441,"America","call"
"291",91,45.5122692866961,"America","call"
"292",92,46.4714982129513,"America","call"
"293",93,47.4307271392064,"America","call"
"294",94,48.3899560654616,"America","call"
"295",95,49.3491849917166,"America","call"
"296",96,50.3092094589007,"America","call"
"297",97,51.2937957296994,"America","call"
"298",98,52.278382000498,"America","call"
"299",99,53.2629682712966,"America","call"
"300",100,54.2475545420952,"America","call"
"301",1,46.9217319081941,"America","put"
"302",2,45.9233971867432,"America","put"
"303",3,44.9250624652922,"America","put"
"304",4,43.9267277438413,"America","put"
"305",5,42.9283930223904,"America","put"
"306",6,41.9300583009394,"America","put"
"307",7,40.9317235794885,"America","put"
"308",8,39.9333888580375,"America","put"
"309",9,38.9350541365866,"America","put"
"310",10,37.9367194151357,"America","put"
"311",11,36.9383846936847,"America","put"
"312",12,35.9400499722338,"America","put"
"313",13,34.9417152507829,"America","put"
"314",14,33.9433805293319,"America","put"
"315",15,32.945045807881,"America","put"
"316",16,31.94671108643,"America","put"
"317",17,30.9483763649791,"America","put"
"318",18,29.9500416435282,"America","put"
"319",19,28.9517069220772,"America","put"
"320",20,27.9533722006263,"America","put"
"321",21,26.9550374791753,"America","put"
"322",22,25.9567027577244,"America","put"
"323",23,24.9583680362735,"America","put"
"324",24,23.9600333148225,"America","put"
"325",25,22.9616985933716,"America","put"
"326",26,21.9633638719207,"America","put"
"327",27,20.9747777951819,"America","put"
"328",28,20.0346626400995,"America","put"
"329",29,19.1169463293332,"America","put"
"330",30,18.2422812845594,"America","put"
"331",31,17.4077734178293,"America","put"
"332",32,16.5865017006684,"America","put"
"333",33,15.7775132012334,"America","put"
"334",34,14.9847873138046,"America","put"
"335",35,14.283025446569,"America","put"
"336",36,13.6072389600029,"America","put"
"337",37,12.9498064757453,"America","put"
"338",38,12.3024768984296,"America","put"
"339",39,11.6612434825806,"America","put"
"340",40,11.0255060815806,"America","put"
"341",41,10.4568793026822,"America","put"
"342",42,9.96052647182053,"America","put"
"343",43,9.47577556768744,"America","put"
"344",44,8.99999851778588,"America","put"
"345",45,8.52806005805249,"America","put"
"346",46,8.06029400005636,"America","put"
"347",47,7.59537428495584,"America","put"
"348",48,7.13107649716628,"America","put"
"349",49,6.78273121969693,"America","put"
"350",50,6.46051711905052,"America","put"
"351",51,6.14354662768748,"America","put"
"352",52,5.83222002926053,"America","put"
"353",53,5.52179811557061,"America","put"
"354",54,5.21304919841987,"America","put"
"355",55,4.9056151021595,"America","put"
"356",56,4.59943963872842,"America","put"
"357",57,4.29333610316519,"America","put"
"358",58,4.07667152514452,"America","put"
"359",59,3.88757657225749,"America","put"
"360",60,3.70248208325375,"America","put"
"361",61,3.51981340009807,"America","put"
"362",62,3.33862145693976,"America","put"
"363",63,3.15769505814247,"America","put"
"364",64,2.97729942979518,"America","put"
"365",65,2.79746632554455,"America","put"
"366",66,2.61810007525655,"America","put"
"367",67,2.43883161977194,"America","put"
"368",68,2.26601676161917,"America","put"
"369",69,2.16056581330754,"America","put"
"370",70,2.06418851136191,"America","put"
"371",71,1.9699721288426,"America","put"
"372",72,1.87625953227004,"America","put"
"373",73,1.78361106988213,"America","put"
"374",74,1.69103702272055,"America","put"
"375",75,1.59855191164878,"America","put"
"376",76,1.50621254172506,"America","put"
"377",77,1.41411077026151,"America","put"
"378",78,1.32209473040793,"America","put"
"379",79,1.23014154098377,"America","put"
"380",80,1.13818835155961,"America","put"
"381",81,1.05606183383956,"America","put"
"382",82,1.01035333459373,"America","put"
"383",83,0.967749257839642,"America","put"
"384",84,0.926242723858997,"America","put"
"385",85,0.884750760042496,"America","put"
"386",86,0.843681285418799,"America","put"
"387",87,0.802751009895491,"America","put"
"388",88,0.761820734372182,"America","put"
"389",89,0.720902931173403,"America","put"
"390",90,0.679992192228747,"America","put"
"391",91,0.639194266602338,"America","put"
"392",92,0.59839634097593,"America","put"
"393",93,0.55762676289694,"America","put"
"394",94,0.516857745972847,"America","put"
"395",95,0.476088729048753,"America","put"
"396",96,0.435849081929234,"America","put"
"397",97,0.41631113767945,"America","put"
"398",98,0.400141913498806,"America","put"
"399",99,0.384365179677704,"America","put"
"400",100,0.368773232322954,"America","put"
