"","r","Price","Continent","Verb"
"143",0.143,16.186865852906,"Europe","call"
"144",0.144,16.2378538403581,"Europe","call"
"145",0.145,16.2888555760238,"Europe","call"
"146",0.146,16.3398705311278,"Europe","call"
"147",0.147,16.3908981777046,"Europe","call"
"148",0.148,16.4419379886155,"Europe","call"
"149",0.149,16.4929894375675,"Europe","call"
"150",0.15,16.5440519991321,"Europe","call"
"151",0.151,16.5951251487626,"Europe","call"
"152",0.152,16.6462083628133,"Europe","call"
"153",0.153,16.6973011185564,"Europe","call"
"154",0.154,16.7484028942004,"Europe","call"
"155",0.155,16.7995131689082,"Europe","call"
"156",0.156,16.8506314228139,"Europe","call"
"157",0.157,16.9017571370414,"Europe","call"
"158",0.158,16.9528897937208,"Europe","call"
"159",0.159,17.0040288760071,"Europe","call"
"160",0.16,17.0551738680958,"Europe","call"
"161",0.161,17.1063242552416,"Europe","call"
"162",0.162,17.1574795237746,"Europe","call"
"163",0.163,17.2086391611167,"Europe","call"
"164",0.164,17.2598026558003,"Europe","call"
"165",0.165,17.3109694974829,"Europe","call"
"166",0.166,17.3621391769646,"Europe","call"
"167",0.167,17.4133111862051,"Europe","call"
"168",0.168,17.464485018339,"Europe","call"
"169",0.169,17.5156601676931,"Europe","call"
"170",0.17,17.5668361298012,"Europe","call"
"171",0.171,17.6180124014214,"Europe","call"
"172",0.172,17.6691884805517,"Europe","call"
"173",0.173,17.7203638664449,"Europe","call"
"174",0.174,17.7715380596255,"Europe","call"
"175",0.175,17.8227105619047,"Europe","call"
"176",0.176,17.8738808763951,"Europe","call"
"177",0.177,17.9250485075274,"Europe","call"
"178",0.178,17.9762129610646,"Europe","call"
"179",0.179,18.027373744117,"Europe","call"
"180",0.18,18.0785303651578,"Europe","call"
"181",0.181,18.1296823340377,"Europe","call"
"182",0.182,18.1808291619988,"Europe","call"
"183",0.183,18.2319703616902,"Europe","call"
"184",0.184,18.2831054471821,"Europe","call"
"185",0.185,18.3342339339796,"Europe","call"
"186",0.186,18.3853553390376,"Europe","call"
"187",0.187,18.4364691807746,"Europe","call"
"188",0.188,18.4875749790864,"Europe","call"
"189",0.189,18.5386722553601,"Europe","call"
"190",0.19,18.5897605324878,"Europe","call"
"191",0.191,18.6408393348802,"Europe","call"
"192",0.192,18.6919081884794,"Europe","call"
"193",0.193,18.7429666207731,"Europe","call"
"194",0.194,18.7940141608072,"Europe","call"
"195",0.195,18.8450503391989,"Europe","call"
"196",0.196,18.8960746881501,"Europe","call"
"197",0.197,18.9470867414587,"Europe","call"
"198",0.198,18.9980860345331,"Europe","call"
"199",0.199,19.0490721044032,"Europe","call"
"200",0.2,19.1000444897336,"Europe","call"
"201",0.001,7.25177453807222,"Europe","put"
"202",0.002,7.19969717389501,"Europe","put"
"203",0.003,7.14789797166708,"Europe","put"
"204",0.004,7.09637611926323,"Europe","put"
"205",0.005,7.04513080313395,"Europe","put"
"206",0.006,6.9941612083228,"Europe","put"
"207",0.007,6.94346651848363,"Europe","put"
"208",0.008,6.89304591589865,"Europe","put"
"209",0.009,6.84289858149541,"Europe","put"
"210",0.01,6.79302369486466,"Europe","put"
"211",0.011,6.74342043427861,"Europe","put"
"212",0.012,6.69408797670803,"Europe","put"
"213",0.013,6.64502549784109,"Europe","put"
"214",0.014,6.59623217210091,"Europe","put"
"215",0.015,6.54770717266403,"Europe","put"
"216",0.016,6.49944967147846,"Europe","put"
"217",0.017,6.45145883928239,"Europe","put"
"218",0.018,6.40373384562235,"Europe","put"
"219",0.019,6.35627385887191,"Europe","put"
"220",0.02,6.30907804625036,"Europe","put"
"221",0.021,6.26214557384118,"Europe","put"
"222",0.022,6.21547560661138,"Europe","put"
"223",0.023,6.16906730842982,"Europe","put"
"224",0.024,6.12291984208667,"Europe","put"
"225",0.025,6.077032369312,"Europe","put"
"226",0.026,6.03140405079526,"Europe","put"
"227",0.027,5.98603404620445,"Europe","put"
"228",0.028,5.94092151420513,"Europe","put"
"229",0.029,5.89606561248026,"Europe","put"
"230",0.03,5.85146549774903,"Europe","put"
"231",0.031,5.80712032578703,"Europe","put"
"232",0.032,5.76302925144525,"Europe","put"
"233",0.033,5.71919142866977,"Europe","put"
"234",0.034,5.67560601052206,"Europe","put"
"235",0.035,5.63227214919787,"Europe","put"
"236",0.036,5.58918899604765,"Europe","put"
"237",0.037,5.54635570159647,"Europe","put"
"238",0.038,5.5037714155633,"Europe","put"
"239",0.039,5.46143528688196,"Europe","put"
"240",0.04,5.41934646372042,"Europe","put"
"241",0.041,5.37750409350122,"Europe","put"
"242",0.042,5.33590732292159,"Europe","put"
"243",0.043,5.29455529797385,"Europe","put"
"244",0.044,5.25344716396532,"Europe","put"
"245",0.045,5.21258206553882,"Europe","put"
"246",0.046,5.17195914669315,"Europe","put"
"247",0.047,5.13157755080328,"Europe","put"
"248",0.048,5.09143642064091,"Europe","put"
"249",0.049,5.05153489839508,"Europe","put"
"250",0.05,5.0118721256924,"Europe","put"
"251",0.051,4.97244724361782,"Europe","put"
"252",0.052,4.93325939273529,"Europe","put"
"253",0.053,4.89430771310822,"Europe","put"
"254",0.054,4.85559134432047,"Europe","put"
"255",0.055,4.81710942549652,"Europe","put"
"256",0.056,4.77886109532281,"Europe","put"
"257",0.057,4.74084549206819,"Europe","put"
"258",0.058,4.70306175360467,"Europe","put"
"259",0.059,4.6655090174284,"Europe","put"
"260",0.06,4.62818642068047,"Europe","put"
"261",0.061,4.59109310016777,"Europe","put"
"262",0.062,4.55422819238385,"Europe","put"
"263",0.063,4.51759083353002,"Europe","put"
"264",0.064,4.48118015953586,"Europe","put"
"265",0.065,4.44499530608073,"Europe","put"
"266",0.066,4.40903540861417,"Europe","put"
"267",0.067,4.37329960237742,"Europe","put"
"268",0.068,4.33778702242381,"Europe","put"
"269",0.069,4.3024968036405,"Europe","put"
"270",0.07,4.26742808076871,"Europe","put"
"271",0.071,4.2325799884252,"Europe","put"
"272",0.072,4.19795166112336,"Europe","put"
"273",0.073,4.16354223329393,"Europe","put"
"274",0.074,4.12935083930613,"Europe","put"
"275",0.075,4.09537661348877,"Europe","put"
"276",0.076,4.06161869015133,"Europe","put"
"277",0.077,4.02807620360479,"Europe","put"
"278",0.078,3.99474828818279,"Europe","put"
"279",0.079,3.96163407826264,"Europe","put"
"280",0.08,3.92873270828629,"Europe","put"
"281",0.081,3.89604331278147,"Europe","put"
"282",0.082,3.86356502638242,"Europe","put"
"283",0.083,3.83129698385114,"Europe","put"
"284",0.084,3.79923832009822,"Europe","put"
"285",0.085,3.7673881702039,"Europe","put"
"286",0.086,3.73574566943884,"Europe","put"
"287",0.087,3.70430995328535,"Europe","put"
"288",0.088,3.67308015745794,"Europe","put"
"289",0.089,3.64205541792438,"Europe","put"
"290",0.09,3.61123487092668,"Europe","put"
"291",0.091,3.58061765300176,"Europe","put"
"292",0.092,3.5502029010024,"Europe","put"
"293",0.093,3.51998975211788,"Europe","put"
"294",0.094,3.48997734389483,"Europe","put"
"295",0.095,3.46016481425814,"Europe","put"
"296",0.096,3.43055130153126,"Europe","put"
"297",0.097,3.4011359444574,"Europe","put"
"298",0.098,3.3719178822197,"Europe","put"
"299",0.099,3.34289625446211,"Europe","put"
"300",0.1,3.31407020130987,"Europe","put"
"301",0.101,3.28543886339015,"Europe","put"
"302",0.102,3.25700138185244,"Europe","put"
"303",0.103,3.22875689838901,"Europe","put"
"304",0.104,3.20070455525536,"Europe","put"
"305",0.105,3.17284349529068,"Europe","put"
"306",0.106,3.14517286193798,"Europe","put"
"307",0.107,3.11769179926467,"Europe","put"
"308",0.108,3.09039945198239,"Europe","put"
"309",0.109,3.0632949654677,"Europe","put"
"310",0.11,3.03637748578174,"Europe","put"
"311",0.111,3.00964615969065,"Europe","put"
"312",0.112,2.98310013468547,"Europe","put"
"313",0.113,2.95673855900214,"Europe","put"
"314",0.114,2.93056058164143,"Europe","put"
"315",0.115,2.90456535238891,"Europe","put"
"316",0.116,2.87875202183451,"Europe","put"
"317",0.117,2.85311974139269,"Europe","put"
"318",0.118,2.82766766332162,"Europe","put"
"319",0.119,2.80239494074329,"Europe","put"
"320",0.12,2.77730072766288,"Europe","put"
"321",0.121,2.75238417898805,"Europe","put"
"322",0.122,2.72764445054893,"Europe","put"
"323",0.123,2.70308069911699,"Europe","put"
"324",0.124,2.67869208242446,"Europe","put"
"325",0.125,2.65447775918384,"Europe","put"
"326",0.126,2.63043688910675,"Europe","put"
"327",0.127,2.60656863292323,"Europe","put"
"328",0.128,2.58287215240056,"Europe","put"
"329",0.129,2.55934661036255,"Europe","put"
"330",0.13,2.53599117070803,"Europe","put"
"331",0.131,2.51280499843001,"Europe","put"
"332",0.132,2.48978725963406,"Europe","put"
"333",0.133,2.46693712155723,"Europe","put"
"334",0.134,2.44425375258656,"Europe","put"
"335",0.135,2.42173632227747,"Europe","put"
"336",0.136,2.3993840013722,"Europe","put"
"337",0.137,2.37719596181818,"Europe","put"
"338",0.138,2.35517137678631,"Europe","put"
"339",0.139,2.33330942068895,"Europe","put"
"340",0.14,2.31160926919811,"Europe","put"
"341",0.141,2.29007009926349,"Europe","put"
"342",0.142,2.26869108913013,"Europe","put"
"343",0.143,2.24747141835651,"Europe","put"
"344",0.144,2.22641026783204,"Europe","put"
"345",0.145,2.20550681979481,"Europe","put"
"346",0.146,2.18476025784908,"Europe","put"
"347",0.147,2.1641697669826,"Europe","put"
"348",0.148,2.14373453358414,"Europe","put"
"349",0.149,2.12345374546069,"Europe","put"
"350",0.15,2.10332659185445,"Europe","put"
"351",0.151,2.08335226346012,"Europe","put"
"352",0.152,2.06352995244161,"Europe","put"
"353",0.153,2.04385885244909,"Europe","put"
"354",0.154,2.02433815863568,"Europe","put"
"355",0.155,2.004967067674,"Europe","put"
"356",0.156,1.98574477777289,"Europe","put"
"357",0.157,1.96667048869373,"Europe","put"
"358",0.158,1.94774340176687,"Europe","put"
"359",0.159,1.92896271990771,"Europe","put"
"360",0.16,1.91032764763309,"Europe","put"
"361",0.161,1.89183739107706,"Europe","put"
"362",0.162,1.87349115800693,"Europe","put"
"363",0.163,1.85528815783915,"Europe","put"
"364",0.164,1.83722760165474,"Europe","put"
"365",0.165,1.81930870221522,"Europe","put"
"366",0.166,1.80153067397786,"Europe","put"
"367",0.167,1.78389273311107,"Europe","put"
"368",0.168,1.76639409750983,"Europe","put"
"369",0.169,1.74903398681051,"Europe","put"
"370",0.17,1.73181162240632,"Europe","put"
"371",0.171,1.71472622746186,"Europe","put"
"372",0.172,1.69777702692807,"Europe","put"
"373",0.173,1.68096324755694,"Europe","put"
"374",0.174,1.66428411791604,"Europe","put"
"375",0.175,1.64773886840288,"Europe","put"
"376",0.176,1.6313267312595,"Europe","put"
"377",0.177,1.61504694058636,"Europe","put"
"378",0.178,1.59889873235665,"Europe","put"
"379",0.179,1.58288134443022,"Europe","put"
"380",0.18,1.56699401656738,"Europe","put"
"381",0.181,1.55123599044265,"Europe","put"
"382",0.182,1.53560650965845,"Europe","put"
"383",0.183,1.52010481975845,"Europe","put"
"384",0.184,1.50473016824103,"Europe","put"
"385",0.185,1.48948180457253,"Europe","put"
"386",0.186,1.47435898020026,"Europe","put"
"387",0.187,1.45936094856562,"Europe","put"
"388",0.188,1.44448696511688,"Europe","put"
"389",0.189,1.42973628732195,"Europe","put"
"390",0.19,1.41510817468097,"Europe","put"
"391",0.191,1.40060188873882,"Europe","put"
"392",0.192,1.38621669309754,"Europe","put"
"393",0.193,1.3719518534284,"Europe","put"
"394",0.194,1.35780663748416,"Europe","put"
"395",0.195,1.34378031511095,"Europe","put"
"396",0.196,1.32987215826011,"Europe","put"
"397",0.197,1.31608144100003,"Europe","put"
"398",0.198,1.30240743952755,"Europe","put"
"399",0.199,1.28884943217961,"Europe","put"
"400",0.2,1.27540669944439,"Europe","put"
"401",0.001,9.34767860204032,"America","call"
"402",0.002,9.39131368538339,"America","call"
"403",0.003,9.43503569707824,"America","call"
"404",0.004,9.47884420708438,"America","call"
"405",0.005,9.52273878317391,"America","call"
"406",0.006,9.56671899095003,"America","call"
"407",0.007,9.61078439386634,"America","call"
"408",0.008,9.65493455324507,"America","call"
"409",0.009,9.69916902829703,"America","call"
"410",0.01,9.74348737614053,"America","call"
"411",0.011,9.78788915182052,"America","call"
"412",0.012,9.83237390832843,"America","call"
"413",0.013,9.8769411966212,"America","call"
"414",0.014,9.92159056564116,"America","call"
"415",0.015,9.96632156233571,"America","call"
"416",0.016,10.0111337316771,"America","call"
"417",0.017,10.0560266166822,"America","call"
"418",0.018,10.1009997584325,"America","call"
"419",0.019,10.1460526960944,"America","call"
"420",0.02,10.1911849669387,"America","call"
"421",0.021,10.2363961063619,"America","call"
"422",0.022,10.2816856479052,"America","call"
"423",0.023,10.3270531232756,"America","call"
"424",0.024,10.3724980623665,"America","call"
"425",0.025,10.4180199932777,"America","call"
"426",0.026,10.4636184423366,"America","call"
"427",0.027,10.5092929341181,"America","call"
"428",0.028,10.5550429914661,"America","call"
"429",0.029,10.6008681355139,"America","call"
"430",0.03,10.6467678857052,"America","call"
"431",0.031,10.6927417598149,"America","call"
"432",0.032,10.7387892739701,"America","call"
"433",0.033,10.7849099426721,"America","call"
"434",0.034,10.8311032788157,"America","call"
"435",0.035,10.8773687937123,"America","call"
"436",0.036,10.9237059971098,"America","call"
"437",0.037,10.9701143972146,"America","call"
"438",0.038,11.016593500713,"America","call"
"439",0.039,11.0631428127922,"America","call"
"440",0.04,11.1097618371618,"America","call"
"441",0.041,11.1564500760764,"America","call"
"442",0.042,11.2032070303557,"America","call"
"443",0.043,11.2500321994067,"America","call"
"444",0.044,11.2969250812457,"America","call"
"445",0.045,11.3438851725198,"America","call"
"446",0.046,11.3909119685287,"America","call"
"447",0.047,11.4380049632464,"America","call"
"448",0.048,11.4851636493431,"America","call"
"449",0.049,11.5323875182068,"America","call"
"450",0.05,11.5796760599662,"America","call"
"451",0.051,11.6270287635117,"America","call"
"452",0.052,11.6744451165174,"America","call"
"453",0.053,11.721924605464,"America","call"
"454",0.054,11.7694667156595,"America","call"
"455",0.055,11.8170709312632,"America","call"
"456",0.056,11.8647367353057,"America","call"
"457",0.057,11.9124636097126,"America","call"
"458",0.058,11.9602510353259,"America","call"
"459",0.059,12.0080984919267,"America","call"
"460",0.06,12.0560054582568,"America","call"
"461",0.061,12.1039714120415,"America","call"
"462",0.062,12.1519958300119,"America","call"
"463",0.063,12.200078187926,"America","call"
"464",0.064,12.248217960593,"America","call"
"465",0.065,12.2964146218937,"America","call"
"466",0.066,12.3446676448043,"America","call"
"467",0.067,12.3929765014173,"America","call"
"468",0.068,12.4413406629654,"America","call"
"469",0.069,12.4897595998421,"America","call"
"470",0.07,12.5382327816259,"America","call"
"471",0.071,12.5867596771014,"America","call"
"472",0.072,12.6353397542816,"America","call"
"473",0.073,12.683972480431,"America","call"
"474",0.074,12.7326573220879,"America","call"
"475",0.075,12.781393745086,"America","call"
"476",0.076,12.8301812145774,"America","call"
"477",0.077,12.8790191950548,"America","call"
"478",0.078,12.9279071503738,"America","call"
"479",0.079,12.9768445437754,"America","call"
"480",0.08,13.0258308379082,"America","call"
"481",0.081,13.0748654948503,"America","call"
"482",0.082,13.1239479761325,"America","call"
"483",0.083,13.17307774276,"America","call"
"484",0.084,13.2222542552346,"America","call"
"485",0.085,13.2714769735774,"America","call"
"486",0.086,13.3207453573509,"America","call"
"487",0.087,13.3700588656807,"America","call"
"488",0.088,13.4194169572783,"America","call"
"489",0.089,13.4688190904634,"America","call"
"490",0.09,13.5182647231855,"America","call"
"491",0.091,13.5677533130465,"America","call"
"492",0.092,13.6172843173221,"America","call"
"493",0.093,13.666857192985,"America","call"
"494",0.094,13.7164713967261,"America","call"
"495",0.095,13.7661263849766,"America","call"
"496",0.096,13.8158216139306,"America","call"
"497",0.097,13.8655565395657,"America","call"
"498",0.098,13.9153306176667,"America","call"
"499",0.099,13.9651433038461,"America","call"
"500",0.1,14.0149940535668,"America","call"
"501",0.101,14.0648823221629,"America","call"
"502",0.102,14.1148075648624,"America","call"
"503",0.103,14.1647692368087,"America","call"
"504",0.104,14.2147667930822,"America","call"
"505",0.105,14.2647996887216,"America","call"
"506",0.106,14.314867378746,"America","call"
"507",0.107,14.3649693181759,"America","call"
"508",0.108,14.4151049620554,"America","call"
"509",0.109,14.4652737654728,"America","call"
"510",0.11,14.5154751835828,"America","call"
"511",0.111,14.565708671627,"America","call"
"512",0.112,14.6159736849559,"America","call"
"513",0.113,14.6662696790497,"America","call"
"514",0.114,14.7165961095396,"America","call"
"515",0.115,14.7669524322287,"America","call"
"516",0.116,14.8173381031137,"America","call"
"517",0.117,14.8677525784045,"America","call"
"518",0.118,14.9181953145471,"America","call"
"519",0.119,14.9686657682424,"America","call"
"520",0.12,15.0191633964682,"America","call"
"521",0.121,15.0696876565003,"America","call"
"522",0.122,15.1202380059317,"America","call"
"523",0.123,15.170813902694,"America","call"
"524",0.124,15.2214148050789,"America","call"
"525",0.125,15.2720401717564,"America","call"
"526",0.126,15.3226894617974,"America","call"
"527",0.127,15.3733621346923,"America","call"
"528",0.128,15.4240576503727,"America","call"
"529",0.129,15.47477546923,"America","call"
"530",0.13,15.5255150521369,"America","call"
"531",0.131,15.5762758604662,"America","call"
"532",0.132,15.627057356112,"America","call"
"533",0.133,15.6778590015083,"America","call"
"534",0.134,15.728680259649,"America","call"
"535",0.135,15.7795205941084,"America","call"
"536",0.136,15.8303794690599,"America","call"
"537",0.137,15.8812563492958,"America","call"
"538",0.138,15.9321507002467,"America","call"
"539",0.139,15.9830619880008,"America","call"
"540",0.14,16.0339896793233,"America","call"
"541",0.141,16.0849332416751,"America","call"
"542",0.142,16.1358921432327,"America","call"
"543",0.143,16.186865852906,"America","call"
"544",0.144,16.2378538403581,"America","call"
"545",0.145,16.2888555760238,"America","call"
"546",0.146,16.3398705311278,"America","call"
"547",0.147,16.3908981777046,"America","call"
"548",0.148,16.4419379886155,"America","call"
"549",0.149,16.4929894375675,"America","call"
"550",0.15,16.5440519991321,"America","call"
"551",0.151,16.5951251487626,"America","call"
"552",0.152,16.6462083628133,"America","call"
"553",0.153,16.6973011185564,"America","call"
"554",0.154,16.7484028942004,"America","call"
"555",0.155,16.7995131689082,"America","call"
"556",0.156,16.8506314228139,"America","call"
"557",0.157,16.9017571370414,"America","call"
"558",0.158,16.9528897937208,"America","call"
"559",0.159,17.0040288760071,"America","call"
"560",0.16,17.0551738680958,"America","call"
"561",0.161,17.1063242552416,"America","call"
"562",0.162,17.1574795237746,"America","call"
"563",0.163,17.2086391611167,"America","call"
"564",0.164,17.2598026558003,"America","call"
"565",0.165,17.3109694974829,"America","call"
"566",0.166,17.3621391769646,"America","call"
"567",0.167,17.4133111862051,"America","call"
"568",0.168,17.464485018339,"America","call"
"569",0.169,17.5156601676931,"America","call"
"570",0.17,17.5668361298012,"America","call"
"571",0.171,17.6180124014214,"America","call"
"572",0.172,17.6691884805517,"America","call"
"573",0.173,17.7203638664449,"America","call"
"574",0.174,17.7715380596255,"America","call"
"575",0.175,17.8227105619047,"America","call"
"576",0.176,17.8738808763951,"America","call"
"577",0.177,17.9250485075274,"America","call"
"578",0.178,17.9762129610646,"America","call"
"579",0.179,18.027373744117,"America","call"
"580",0.18,18.0785303651578,"America","call"
"581",0.181,18.1296823340377,"America","call"
"582",0.182,18.1808291619988,"America","call"
"583",0.183,18.2319703616902,"America","call"
"584",0.184,18.2831054471821,"America","call"
"585",0.185,18.3342339339796,"America","call"
"586",0.186,18.3853553390376,"America","call"
"587",0.187,18.4364691807746,"America","call"
"588",0.188,18.4875749790864,"America","call"
"589",0.189,18.5386722553601,"America","call"
"590",0.19,18.5897605324878,"America","call"
"591",0.191,18.6408393348802,"America","call"
"592",0.192,18.6919081884794,"America","call"
"593",0.193,18.7429666207731,"America","call"
"594",0.194,18.7940141608072,"America","call"
"595",0.195,18.8450503391989,"America","call"
"596",0.196,18.8960746881501,"America","call"
"597",0.197,18.9470867414587,"America","call"
"598",0.198,18.9980860345331,"America","call"
"599",0.199,19.0490721044032,"America","call"
"600",0.2,19.1000444897336,"America","call"
"601",0.001,7.25710281420745,"America","put"
"602",0.002,7.21076697615946,"America","put"
"603",0.003,7.16504691704372,"America","put"
"604",0.004,7.11996656788858,"America","put"
"605",0.005,7.07553807904098,"America","put"
"606",0.006,7.0313582244919,"America","put"
"607",0.007,6.98756297868799,"America","put"
"608",0.008,6.94474827964129,"America","put"
"609",0.009,6.90236388959331,"America","put"
"610",0.01,6.86029382236688,"America","put"
"611",0.011,6.81848933151559,"America","put"
"612",0.012,6.7768392417169,"America","put"
"613",0.013,6.73587633242298,"America","put"
"614",0.014,6.69517329983704,"America","put"
"615",0.015,6.6546743700921,"America","put"
"616",0.016,6.61518097654118,"America","put"
"617",0.017,6.57616495505598,"America","put"
"618",0.018,6.53748221896904,"America","put"
"619",0.019,6.49893288011783,"America","put"
"620",0.02,6.46051711905052,"America","put"
"621",0.021,6.42250526009215,"America","put"
"622",0.022,6.38475648865736,"America","put"
"623",0.023,6.34722833776577,"America","put"
"624",0.024,6.31032392051056,"America","put"
"625",0.025,6.27377825565441,"America","put"
"626",0.026,6.23735477422462,"America","put"
"627",0.027,6.20110105154075,"America","put"
"628",0.028,6.16511540233203,"America","put"
