"","DeltaT","Price","Continent","Verb"
"211",0.22,10.2917453915665,"Europe","call"
"212",0.221,10.3139767827328,"Europe","call"
"213",0.222,10.3361606272085,"Europe","call"
"214",0.223,9.6114303940143,"Europe","call"
"215",0.224,9.63122305428068,"Europe","call"
"216",0.225,9.65097471217295,"Europe","call"
"217",0.226,9.67068562817092,"Europe","call"
"218",0.227,9.69035605990336,"Europe","call"
"219",0.228,9.70998626219206,"Europe","call"
"220",0.229,9.72957648709426,"Europe","call"
"221",0.23,9.74912698394514,"Europe","call"
"222",0.231,9.76863799939879,"Europe","call"
"223",0.232,9.78810977746859,"Europe","call"
"224",0.233,9.80754255956707,"Europe","call"
"225",0.234,9.82693658454473,"Europe","call"
"226",0.235,9.84629208872791,"Europe","call"
"227",0.236,9.86560930595669,"Europe","call"
"228",0.237,9.88488846762106,"Europe","call"
"229",0.238,9.90412980269732,"Europe","call"
"230",0.239,9.92333353778321,"Europe","call"
"231",0.24,9.94249989713263,"Europe","call"
"232",0.241,9.96162910268967,"Europe","call"
"233",0.242,9.9807213741219,"Europe","call"
"234",0.243,9.99977692885322,"Europe","call"
"235",0.244,10.0187959820959,"Europe","call"
"236",0.245,10.0377787468825,"Europe","call"
"237",0.246,10.0567254340962,"Europe","call"
"238",0.247,10.075636252502,"Europe","call"
"239",0.248,10.0945114087759,"Europe","call"
"240",0.249,10.1133511075346,"Europe","call"
"241",0.25,10.1321555513644,"Europe","call"
"242",0.251,9.78459379064614,"Europe","call"
"243",0.252,9.80299381620411,"Europe","call"
"244",0.253,9.82135941395177,"Europe","call"
"245",0.254,9.83969077829675,"Europe","call"
"246",0.255,9.85798810175409,"Europe","call"
"247",0.256,9.87625157497234,"Europe","call"
"248",0.257,9.89448138675881,"Europe","call"
"249",0.258,9.91267772410457,"Europe","call"
"250",0.259,9.93084077220896,"Europe","call"
"251",0.26,9.94897071450373,"Europe","call"
"252",0.261,9.96706773267659,"Europe","call"
"253",0.262,9.98513200669471,"Europe","call"
"254",0.263,10.0031637148273,"Europe","call"
"255",0.264,10.0211630336683,"Europe","call"
"256",0.265,10.0391301381585,"Europe","call"
"257",0.266,10.057065201607,"Europe","call"
"258",0.267,10.0749683957131,"Europe","call"
"259",0.268,10.0928398905865,"Europe","call"
"260",0.269,10.1106798547687,"Europe","call"
"261",0.27,10.1284884552531,"Europe","call"
"262",0.271,10.1462658575045,"Europe","call"
"263",0.272,10.1640122254797,"Europe","call"
"264",0.273,10.1817277216456,"Europe","call"
"265",0.274,10.1994125069992,"Europe","call"
"266",0.275,10.2170667410859,"Europe","call"
"267",0.276,10.2346905820179,"Europe","call"
"268",0.277,10.252284186492,"Europe","call"
"269",0.278,10.269847709808,"Europe","call"
"270",0.279,10.2873813058857,"Europe","call"
"271",0.28,10.3048851272824,"Europe","call"
"272",0.281,10.3223593252095,"Europe","call"
"273",0.282,10.3398040495497,"Europe","call"
"274",0.283,10.3572194488729,"Europe","call"
"275",0.284,10.3746056704526,"Europe","call"
"276",0.285,10.3919628602819,"Europe","call"
"277",0.286,9.40350460304233,"Europe","call"
"278",0.287,9.41849101895577,"Europe","call"
"279",0.288,9.43345326591145,"Europe","call"
"280",0.289,9.44839146409876,"Europe","call"
"281",0.29,9.46330573267773,"Europe","call"
"282",0.291,9.47819618979144,"Europe","call"
"283",0.292,9.49306295257804,"Europe","call"
"284",0.293,9.50790613718297,"Europe","call"
"285",0.294,9.52272585877048,"Europe","call"
"286",0.295,9.53752223153562,"Europe","call"
"287",0.296,9.5522953687153,"Europe","call"
"288",0.297,9.56704538259984,"Europe","call"
"289",0.298,9.58177238454401,"Europe","call"
"290",0.299,9.59647648497793,"Europe","call"
"291",0.3,9.61115779341786,"Europe","call"
"292",0.301,9.62581641847678,"Europe","call"
"293",0.302,9.640452467875,"Europe","call"
"294",0.303,9.65506604845021,"Europe","call"
"295",0.304,9.66965726616789,"Europe","call"
"296",0.305,9.68422622613108,"Europe","call"
"297",0.306,9.6987730325904,"Europe","call"
"298",0.307,9.71329778895365,"Europe","call"
"299",0.308,9.72780059779542,"Europe","call"
"300",0.309,9.74228156086655,"Europe","call"
"301",0.31,9.75674077910327,"Europe","call"
"302",0.311,9.77117835263661,"Europe","call"
"303",0.312,9.78559438080118,"Europe","call"
"304",0.313,9.79998896214416,"Europe","call"
"305",0.314,9.81436219443409,"Europe","call"
"306",0.315,9.82871417466941,"Europe","call"
"307",0.316,9.84304499908713,"Europe","call"
"308",0.317,9.85735476317112,"Europe","call"
"309",0.318,9.87164356166043,"Europe","call"
"310",0.319,9.88591148855729,"Europe","call"
"311",0.32,9.90015863713547,"Europe","call"
"312",0.321,9.9143850999479,"Europe","call"
"313",0.322,9.92859096883476,"Europe","call"
"314",0.323,9.94277633493088,"Europe","call"
"315",0.324,9.95694128867372,"Europe","call"
"316",0.325,9.97108591981046,"Europe","call"
"317",0.326,9.98521031740582,"Europe","call"
"318",0.327,9.99931456984903,"Europe","call"
"319",0.328,10.0133987648611,"Europe","call"
"320",0.329,10.027462989502,"Europe","call"
"321",0.33,10.0415073301777,"Europe","call"
"322",0.331,10.0555318726468,"Europe","call"
"323",0.332,10.0695367020278,"Europe","call"
"324",0.333,10.0835219028052,"Europe","call"
"325",0.334,9.65868824798207,"Europe","call"
"326",0.335,9.6722914198279,"Europe","call"
"327",0.336,9.68587538454029,"Europe","call"
"328",0.337,9.6994402239484,"Europe","call"
"329",0.338,9.71298601928072,"Europe","call"
"330",0.339,9.72651285117117,"Europe","call"
"331",0.34,9.74002079966531,"Europe","call"
"332",0.341,9.75350994422633,"Europe","call"
"333",0.342,9.76698036374106,"Europe","call"
"334",0.343,9.78043213652572,"Europe","call"
"335",0.344,9.79386534033181,"Europe","call"
"336",0.345,9.80728005235181,"Europe","call"
"337",0.346,9.82067634922481,"Europe","call"
"338",0.347,9.83405430704218,"Europe","call"
"339",0.348,9.84741400135279,"Europe","call"
"340",0.349,9.86075550716884,"Europe","call"
"341",0.35,9.87407889897085,"Europe","call"
"342",0.351,9.8873842507132,"Europe","call"
"343",0.352,9.90067163582926,"Europe","call"
"344",0.353,9.91394112723648,"Europe","call"
"345",0.354,9.92719279734168,"Europe","call"
"346",0.355,9.94042671804581,"Europe","call"
"347",0.356,9.95364296074909,"Europe","call"
"348",0.357,9.96684159635597,"Europe","call"
"349",0.358,9.9800226952797,"Europe","call"
"350",0.359,9.99318632744741,"Europe","call"
"351",0.36,10.0063325623047,"Europe","call"
"352",0.361,10.0194614688201,"Europe","call"
"353",0.362,10.0325731154901,"Europe","call"
"354",0.363,10.0456675703433,"Europe","call"
"355",0.364,10.0587449009452,"Europe","call"
"356",0.365,10.0718051744025,"Europe","call"
"357",0.366,10.0848484573672,"Europe","call"
"358",0.367,10.0978748160415,"Europe","call"
"359",0.368,10.1108843161815,"Europe","call"
"360",0.369,10.123877023102,"Europe","call"
"361",0.37,10.1368530016801,"Europe","call"
"362",0.371,10.1498123163598,"Europe","call"
"363",0.372,10.1627550311554,"Europe","call"
"364",0.373,10.1756812096566,"Europe","call"
"365",0.374,10.1885909150312,"Europe","call"
"366",0.375,10.2014842100301,"Europe","call"
"367",0.376,10.2143611569905,"Europe","call"
"368",0.377,10.2272218178402,"Europe","call"
"369",0.378,10.2400662541007,"Europe","call"
"370",0.379,10.2528945268919,"Europe","call"
"371",0.38,10.2657066969349,"Europe","call"
"372",0.381,10.2785028245562,"Europe","call"
"373",0.382,10.2912829696911,"Europe","call"
"374",0.383,10.3040471918873,"Europe","call"
"375",0.384,10.3167955503085,"Europe","call"
"376",0.385,10.3295281037377,"Europe","call"
"377",0.386,10.3422449105807,"Europe","call"
"378",0.387,10.3549460288699,"Europe","call"
"379",0.388,10.3676315162669,"Europe","call"
"380",0.389,10.3803014300664,"Europe","call"
"381",0.39,10.3929558271995,"Europe","call"
"382",0.391,10.4055947642366,"Europe","call"
"383",0.392,10.4182182973907,"Europe","call"
"384",0.393,10.4308264825209,"Europe","call"
"385",0.394,10.4434193751352,"Europe","call"
"386",0.395,10.4559970303936,"Europe","call"
"387",0.396,10.4685595031114,"Europe","call"
"388",0.397,10.4811068477621,"Europe","call"
"389",0.398,10.4936391184804,"Europe","call"
"390",0.399,10.5061563690649,"Europe","call"
"391",0.4,10.5186586529819,"Europe","call"
"392",0.401,9.03682038572111,"Europe","call"
"393",0.402,9.04695427279528,"Europe","call"
"394",0.403,9.0570765465653,"Europe","call"
"395",0.404,9.06718724842956,"Europe","call"
"396",0.405,9.07728641953269,"Europe","call"
"397",0.406,9.08737410076751,"Europe","call"
"398",0.407,9.09745033277742,"Europe","call"
"399",0.408,9.10751515595842,"Europe","call"
"400",0.409,9.11756861046123,"Europe","call"
"401",0.41,9.12761073619339,"Europe","call"
"402",0.411,9.13764157282132,"Europe","call"
"403",0.412,9.14766115977237,"Europe","call"
"404",0.413,9.15766953623694,"Europe","call"
"405",0.414,9.16766674117026,"Europe","call"
"406",0.415,9.17765281329461,"Europe","call"
"407",0.416,9.18762779110109,"Europe","call"
"408",0.417,9.19759171285165,"Europe","call"
"409",0.418,9.20754461658103,"Europe","call"
"410",0.419,9.21748654009858,"Europe","call"
"411",0.42,9.22741752099018,"Europe","call"
"412",0.421,9.23733759662004,"Europe","call"
"413",0.422,9.24724680413266,"Europe","call"
"414",0.423,9.25714518045451,"Europe","call"
"415",0.424,9.26703276229591,"Europe","call"
"416",0.425,9.27690958615275,"Europe","call"
"417",0.426,9.2867756883083,"Europe","call"
"418",0.427,9.29663110483496,"Europe","call"
"419",0.428,9.30647587159583,"Europe","call"
"420",0.429,9.31631002424665,"Europe","call"
"421",0.43,9.32613359823736,"Europe","call"
"422",0.431,9.33594662881373,"Europe","call"
"423",0.432,9.34574915101905,"Europe","call"
"424",0.433,9.35554119969582,"Europe","call"
"425",0.434,9.36532280948732,"Europe","call"
"426",0.435,9.37509401483914,"Europe","call"
"427",0.436,9.38485485000088,"Europe","call"
"428",0.437,9.39460534902769,"Europe","call"
"429",0.438,9.40434554578176,"Europe","call"
"430",0.439,9.4140754739339,"Europe","call"
"431",0.44,9.42379516696508,"Europe","call"
"432",0.441,9.43350465816788,"Europe","call"
"433",0.442,9.44320398064806,"Europe","call"
"434",0.443,9.45289316732586,"Europe","call"
"435",0.444,9.46257225093774,"Europe","call"
"436",0.445,9.47224126403755,"Europe","call"
"437",0.446,9.48190023899812,"Europe","call"
"438",0.447,9.49154920801262,"Europe","call"
"439",0.448,9.50118820309593,"Europe","call"
"440",0.449,9.51081725608616,"Europe","call"
"441",0.45,9.52043639864583,"Europe","call"
"442",0.451,9.53004566226336,"Europe","call"
"443",0.452,9.53964507825442,"Europe","call"
"444",0.453,9.54923467776319,"Europe","call"
"445",0.454,9.55881449176368,"Europe","call"
"446",0.455,9.56838455106117,"Europe","call"
"447",0.456,9.57794488629331,"Europe","call"
"448",0.457,9.58749552793154,"Europe","call"
"449",0.458,9.59703650628228,"Europe","call"
"450",0.459,9.60656785148826,"Europe","call"
"451",0.46,9.61608959352973,"Europe","call"
"452",0.461,9.6256017622256,"Europe","call"
"453",0.462,9.63510438723481,"Europe","call"
"454",0.463,9.64459749805743,"Europe","call"
"455",0.464,9.65408112403596,"Europe","call"
"456",0.465,9.66355529435636,"Europe","call"
"457",0.466,9.67302003804936,"Europe","call"
"458",0.467,9.68247538399157,"Europe","call"
"459",0.468,9.69192136090662,"Europe","call"
"460",0.469,9.70135799736633,"Europe","call"
"461",0.47,9.71078532179178,"Europe","call"
"462",0.471,9.72020336245446,"Europe","call"
"463",0.472,9.72961214747747,"Europe","call"
"464",0.473,9.7390117048364,"Europe","call"
"465",0.474,9.74840206236069,"Europe","call"
"466",0.475,9.7577832477344,"Europe","call"
"467",0.476,9.76715528849756,"Europe","call"
"468",0.477,9.77651821204706,"Europe","call"
"469",0.478,9.78587204563774,"Europe","call"
"470",0.479,9.79521681638338,"Europe","call"
"471",0.48,9.8045525512578,"Europe","call"
"472",0.481,9.8138792770959,"Europe","call"
"473",0.482,9.82319702059446,"Europe","call"
"474",0.483,9.83250580831349,"Europe","call"
"475",0.484,9.84180566667681,"Europe","call"
"476",0.485,9.85109662197339,"Europe","call"
"477",0.486,9.86037870035809,"Europe","call"
"478",0.487,9.86965192785269,"Europe","call"
"479",0.488,9.87891633034692,"Europe","call"
"480",0.489,9.88817193359925,"Europe","call"
"481",0.49,9.89741876323789,"Europe","call"
"482",0.491,9.90665684476182,"Europe","call"
"483",0.492,9.91588620354159,"Europe","call"
"484",0.493,9.92510686482023,"Europe","call"
"485",0.494,9.93431885371417,"Europe","call"
"486",0.495,9.9435221952142,"Europe","call"
"487",0.496,9.95271691418622,"Europe","call"
"488",0.497,9.96190303537227,"Europe","call"
"489",0.498,9.97108058339129,"Europe","call"
"490",0.499,9.98024958273999,"Europe","call"
"491",0.5,9.98941005779374,"Europe","call"
"492",0.501,9.42900292699812,"Europe","call"
"493",0.502,9.43779226351716,"Europe","call"
"494",0.503,9.44657325966566,"Europe","call"
"495",0.504,9.45534593926118,"Europe","call"
"496",0.505,9.46411032600433,"Europe","call"
"497",0.506,9.47286644347947,"Europe","call"
"498",0.507,9.48161431515569,"Europe","call"
"499",0.508,9.49035396438735,"Europe","call"
"500",0.509,9.49908541441506,"Europe","call"
"501",0.51,9.50780868836644,"Europe","call"
"502",0.511,9.51652380925679,"Europe","call"
"503",0.512,9.52523079998992,"Europe","call"
"504",0.513,9.53392968335896,"Europe","call"
"505",0.514,9.54262048204698,"Europe","call"
"506",0.515,9.5513032186279,"Europe","call"
"507",0.516,9.55997791556709,"Europe","call"
"508",0.517,9.56864459522217,"Europe","call"
"509",0.518,9.57730327984374,"Europe","call"
"510",0.519,9.58595399157604,"Europe","call"
"511",0.52,9.59459675245774,"Europe","call"
"512",0.521,9.60323158442263,"Europe","call"
"513",0.522,9.61185850930028,"Europe","call"
"514",0.523,9.62047754881679,"Europe","call"
"515",0.524,9.62908872459539,"Europe","call"
"516",0.525,9.63769205815727,"Europe","call"
"517",0.526,9.64628757092211,"Europe","call"
"518",0.527,9.65487528420885,"Europe","call"
"519",0.528,9.66345521923632,"Europe","call"
"520",0.529,9.67202739712387,"Europe","call"
"521",0.53,9.68059183889213,"Europe","call"
"522",0.531,9.6891485654635,"Europe","call"
"523",0.532,9.69769759766294,"Europe","call"
"524",0.533,9.70623895621855,"Europe","call"
"525",0.534,9.71477266176219,"Europe","call"
"526",0.535,9.72329873483013,"Europe","call"
"527",0.536,9.73181719586364,"Europe","call"
"528",0.537,9.74032806520965,"Europe","call"
"529",0.538,9.74883136312134,"Europe","call"
"530",0.539,9.75732710975881,"Europe","call"
"531",0.54,9.76581532518951,"Europe","call"
"532",0.541,9.77429602938906,"Europe","call"
"533",0.542,9.78276924224166,"Europe","call"
"534",0.543,9.79123498354079,"Europe","call"
"535",0.544,9.79969327298975,"Europe","call"
"536",0.545,9.80814413020224,"Europe","call"
"537",0.546,9.8165875747029,"Europe","call"
"538",0.547,9.82502362592795,"Europe","call"
"539",0.548,9.83345230322572,"Europe","call"
"540",0.549,9.84187362585718,"Europe","call"
"541",0.55,9.85028761299651,"Europe","call"
"542",0.551,9.85869428373172,"Europe","call"
"543",0.552,9.86709365706505,"Europe","call"
"544",0.553,9.87548575191367,"Europe","call"
"545",0.554,9.88387058711009,"Europe","call"
"546",0.555,9.89224818140275,"Europe","call"
"547",0.556,9.90061855345657,"Europe","call"
"548",0.557,9.90898172185345,"Europe","call"
"549",0.558,9.91733770509271,"Europe","call"
"550",0.559,9.92568652159176,"Europe","call"
"551",0.56,9.9340281896865,"Europe","call"
"552",0.561,9.94236272763188,"Europe","call"
"553",0.562,9.95069015360234,"Europe","call"
"554",0.563,9.95901048569235,"Europe","call"
"555",0.564,9.96732374191697,"Europe","call"
"556",0.565,9.9756299402122,"Europe","call"
"557",0.566,9.98392909843556,"Europe","call"
"558",0.567,9.99222123436662,"Europe","call"
"559",0.568,10.0005063657073,"Europe","call"
"560",0.569,10.0087845100826,"Europe","call"
"561",0.57,10.0170556850407,"Europe","call"
"562",0.571,10.025319908054,"Europe","call"
"563",0.572,10.033577196519,"Europe","call"
"564",0.573,10.0418275677571,"Europe","call"
"565",0.574,10.0500710390148,"Europe","call"
"566",0.575,10.0583076274645,"Europe","call"
"567",0.576,10.0665373502048,"Europe","call"
"568",0.577,10.0747602242608,"Europe","call"
"569",0.578,10.0829762665846,"Europe","call"
"570",0.579,10.0911854940559,"Europe","call"
"571",0.58,10.0993879234824,"Europe","call"
"572",0.581,10.1075835716,"Europe","call"
"573",0.582,10.1157724550735,"Europe","call"
"574",0.583,10.1239545904969,"Europe","call"
"575",0.584,10.1321299943938,"Europe","call"
"576",0.585,10.140298683218,"Europe","call"
"577",0.586,10.1484606733535,"Europe","call"
"578",0.587,10.1566159811156,"Europe","call"
"579",0.588,10.1647646227504,"Europe","call"
"580",0.589,10.1729066144362,"Europe","call"
"581",0.59,10.1810419722832,"Europe","call"
"582",0.591,10.189170712334,"Europe","call"
"583",0.592,10.1972928505644,"Europe","call"
"584",0.593,10.2054084028831,"Europe","call"
"585",0.594,10.2135173851329,"Europe","call"
"586",0.595,10.2216198130906,"Europe","call"
"587",0.596,10.2297157024672,"Europe","call"
"588",0.597,10.2378050689088,"Europe","call"
"589",0.598,10.2458879279968,"Europe","call"
"590",0.599,10.2539642952481,"Europe","call"
"591",0.6,10.2620341861156,"Europe","call"
"592",0.601,10.2700976159884,"Europe","call"
"593",0.602,10.2781546001927,"Europe","call"
"594",0.603,10.2862051539915,"Europe","call"
"595",0.604,10.2942492925852,"Europe","call"
"596",0.605,10.3022870311124,"Europe","call"
"597",0.606,10.3103183846496,"Europe","call"
"598",0.607,10.3183433682117,"Europe","call"
"599",0.608,10.3263619967528,"Europe","call"
"600",0.609,10.3343742851661,"Europe","call"
"601",0.61,10.3423802482844,"Europe","call"
"602",0.611,10.3503799008802,"Europe","call"
"603",0.612,10.3583732576668,"Europe","call"
"604",0.613,10.3663603332975,"Europe","call"
"605",0.614,10.3743411423669,"Europe","call"
"606",0.615,10.382315699411,"Europe","call"
"607",0.616,10.3902840189071,"Europe","call"
"608",0.617,10.3982461152745,"Europe","call"
