"","Sigma","Price","Continent","Verb"
"52",0.52,15.7926564867754,"Europe","call"
"53",0.53,16.0415084598024,"Europe","call"
"54",0.54,16.2897360844212,"Europe","call"
"55",0.55,16.5373264382748,"Europe","call"
"56",0.56,16.7842668647251,"Europe","call"
"57",0.57,17.0305449596117,"Europe","call"
"58",0.58,17.2761485594833,"Europe","call"
"59",0.59,17.5210657311242,"Europe","call"
"60",0.6,17.7652847622233,"Europe","call"
"61",0.01,3.7166024894394e-11,"Europe","put"
"62",0.02,0.000812558614533907,"Europe","put"
"63",0.03,0.0223421468115568,"Europe","put"
"64",0.04,0.0944151621629315,"Europe","put"
"65",0.05,0.218698859897145,"Europe","put"
"66",0.06,0.370357366945874,"Europe","put"
"67",0.07,0.540109418761239,"Europe","put"
"68",0.08,0.753351805134389,"Europe","put"
"69",0.09,0.979612233812166,"Europe","put"
"70",0.1,1.21358191561861,"Europe","put"
"71",0.11,1.45323766454195,"Europe","put"
"72",0.12,1.6971832172212,"Europe","put"
"73",0.13,1.94442462103654,"Europe","put"
"74",0.14,2.19423491129003,"Europe","put"
"75",0.15,2.44606959575818,"Europe","put"
"76",0.16,2.69951215363147,"Europe","put"
"77",0.17,2.95423787756987,"Europe","put"
"78",0.18,3.2099892727728,"Europe","put"
"79",0.19,3.46655893891511,"Europe","put"
"80",0.2,3.72377741708701,"Europe","put"
"81",0.21,3.98150440443343,"Europe","put"
"82",0.22,4.23962229891858,"Europe","put"
"83",0.23,4.49803138561631,"Europe","put"
"84",0.24,4.75664619852228,"Europe","put"
"85",0.25,5.01539273686038,"Europe","put"
"86",0.26,5.27420631109408,"Europe","put"
"87",0.27,5.533029858869,"Europe","put"
"88",0.28,5.79181261574671,"Europe","put"
"89",0.29,6.05050905669231,"Europe","put"
"90",0.3,6.30907804625036,"Europe","put"
"91",0.31,6.56748215106652,"Europe","put"
"92",0.32,6.82568707979765,"Europe","put"
"93",0.33,7.08366122378732,"Europe","put"
"94",0.34,7.34137527805234,"Europe","put"
"95",0.35,7.59880192673005,"Europe","put"
"96",0.36,7.85591558061105,"Europe","put"
"97",0.37,8.11269215702005,"Europe","put"
"98",0.38,8.36910889433232,"Europe","put"
"99",0.39,8.62514419497528,"Europe","put"
"100",0.4,8.88077749198078,"Europe","put"
"101",0.41,9.13598913510523,"Europe","put"
"102",0.42,9.39076029328539,"Europe","put"
"103",0.43,9.64507287079237,"Europe","put"
"104",0.44,9.89890943492137,"Europe","put"
"105",0.45,10.1522531534352,"Europe","put"
"106",0.46,10.4050877402867,"Europe","put"
"107",0.47,10.6573974083934,"Europe","put"
"108",0.48,10.9091668284419,"Europe","put"
"109",0.49,11.1603810928627,"Europe","put"
"110",0.5,11.4110256842541,"Europe","put"
"111",0.51,11.6610864476461,"Europe","put"
"112",0.52,11.9105495660871,"Europe","put"
"113",0.53,12.159401539114,"Europe","put"
"114",0.54,12.4076291637329,"Europe","put"
"115",0.55,12.6552195175864,"Europe","put"
"116",0.56,12.9021599440367,"Europe","put"
"117",0.57,13.1484380389233,"Europe","put"
"118",0.58,13.3940416387949,"Europe","put"
"119",0.59,13.6389588104358,"Europe","put"
"120",0.6,13.8831778415349,"Europe","put"
"121",0.01,3.88210692072555,"America","call"
"122",0.02,3.88291947930292,"America","call"
"123",0.03,3.90444906749994,"America","call"
"124",0.04,3.97652208285131,"America","call"
"125",0.05,4.10080578058553,"America","call"
"126",0.06,4.25246428763426,"America","call"
"127",0.07,4.42221633944962,"America","call"
"128",0.08,4.63545872582277,"America","call"
"129",0.09,4.86171915450055,"America","call"
"130",0.1,5.095688836307,"America","call"
"131",0.11,5.33534458523033,"America","call"
"132",0.12,5.57929013790958,"America","call"
"133",0.13,5.82653154172492,"America","call"
"134",0.14,6.0763418319784,"America","call"
"135",0.15,6.32817651644656,"America","call"
"136",0.16,6.58161907431985,"America","call"
"137",0.17,6.83634479825825,"America","call"
"138",0.18,7.09209619346119,"America","call"
"139",0.19,7.34866585960349,"America","call"
"140",0.2,7.6058843377754,"America","call"
"141",0.21,7.86361132512181,"America","call"
"142",0.22,8.12172921960697,"America","call"
"143",0.23,8.3801383063047,"America","call"
"144",0.24,8.63875311921066,"America","call"
"145",0.25,8.89749965754876,"America","call"
"146",0.26,9.15631323178246,"America","call"
"147",0.27,9.41513677955739,"America","call"
"148",0.28,9.67391953643509,"America","call"
"149",0.29,9.9326159773807,"America","call"
"150",0.3,10.1911849669387,"America","call"
"151",0.31,10.4495890717549,"America","call"
"152",0.32,10.707794000486,"America","call"
"153",0.33,10.9657681444757,"America","call"
"154",0.34,11.2234821987407,"America","call"
"155",0.35,11.4809088474184,"America","call"
"156",0.36,11.7380225012994,"America","call"
"157",0.37,11.9947990777084,"America","call"
"158",0.38,12.2512158150207,"America","call"
"159",0.39,12.5072511156637,"America","call"
"160",0.4,12.7628844126692,"America","call"
"161",0.41,13.0180960557936,"America","call"
"162",0.42,13.2728672139738,"America","call"
"163",0.43,13.5271797914808,"America","call"
"164",0.44,13.7810163556098,"America","call"
"165",0.45,14.0343600741236,"America","call"
"166",0.46,14.287194660975,"America","call"
"167",0.47,14.5395043290818,"America","call"
"168",0.48,14.7912737491303,"America","call"
"169",0.49,15.0424880135511,"America","call"
"170",0.5,15.2931326049425,"America","call"
"171",0.51,15.5431933683345,"America","call"
"172",0.52,15.7926564867754,"America","call"
"173",0.53,16.0415084598024,"America","call"
"174",0.54,16.2897360844212,"America","call"
"175",0.55,16.5373264382748,"America","call"
"176",0.56,16.7842668647251,"America","call"
"177",0.57,17.0305449596117,"America","call"
"178",0.58,17.2761485594833,"America","call"
"179",0.59,17.5210657311242,"America","call"
"180",0.6,17.7652847622233,"America","call"
"181",0.01,1.43754645647e-10,"America","put"
"182",0.02,0.00131226603926274,"America","put"
"183",0.03,0.0313781873662666,"America","put"
"184",0.04,0.122273990999942,"America","put"
"185",0.05,0.263718704009524,"America","put"
"186",0.06,0.43397250348888,"America","put"
"187",0.07,0.626478686369118,"America","put"
"188",0.08,0.849141792351735,"America","put"
"189",0.09,1.08220087194169,"America","put"
"190",0.1,1.32185560005024,"America","put"
"191",0.11,1.56629612118843,"America","put"
"192",0.12,1.81432099849142,"America","put"
"193",0.13,2.06508055145932,"America","put"
"194",0.14,2.31795654439647,"America","put"
"195",0.15,2.57248779059154,"America","put"
"196",0.16,2.82832257345941,"America","put"
"197",0.17,3.08522841046824,"America","put"
"198",0.18,3.3429989194911,"America","put"
"199",0.19,3.60141089716471,"America","put"
"200",0.2,3.86032139386307,"America","put"
"201",0.21,4.11972309420298,"America","put"
"202",0.22,4.37956371840536,"America","put"
"203",0.23,4.63960559621074,"America","put"
"204",0.24,4.89977529936499,"America","put"
"205",0.25,5.16000906500001,"America","put"
"206",0.26,5.42025096660915,"America","put"
"207",0.27,5.68045148719038,"America","put"
"208",0.28,5.94056639528762,"America","put"
"209",0.29,6.20056562310275,"America","put"
"210",0.3,6.46051711905052,"America","put"
"211",0.31,6.72027435108682,"America","put"
"212",0.32,6.97980673080832,"America","put"
"213",0.33,7.23908592775536,"America","put"
"214",0.34,7.49808554998897,"America","put"
"215",0.35,7.75678087935285,"America","put"
"216",0.36,8.01514865086217,"America","put"
"217",0.37,8.27316686792394,"America","put"
"218",0.38,8.53081464682829,"America","put"
"219",0.39,8.7880720852849,"America","put"
"220",0.4,9.04492015081777,"America","put"
"221",0.41,9.30134058564284,"America","put"
"222",0.42,9.55731582529187,"America","put"
"223",0.43,9.8128289287524,"America","put"
"224",0.44,10.0678635182967,"America","put"
"225",0.45,10.3224037274959,"America","put"
"226",0.46,10.576434156175,"America","put"
"227",0.47,10.8299398312766,"America","put"
"228",0.48,11.082906172771,"America","put"
"229",0.49,11.3353189638907,"America","put"
"230",0.5,11.5872055150947,"America","put"
"231",0.51,11.8385384395063,"America","put"
"232",0.52,12.0892762552931,"America","put"
"233",0.53,12.3394059383721,"America","put"
"234",0.54,12.5889147272063,"America","put"
"235",0.55,12.837790108944,"America","put"
"236",0.56,13.0860198071622,"America","put"
"237",0.57,13.333591771013,"America","put"
"238",0.58,13.5804941656005,"America","put"
"239",0.59,13.826715363441,"America","put"
"240",0.6,14.0722439368763,"America","put"
